floor,index,type,room,wave,wave2,children,x,y,z,p1,p2,p3,p4,p5,p6,p7
0,0,0x00FE,10,0,0,0,-113.0,0.0,19.0,0.0,0.0,0.0,1068.0,950.0,0,0
0,1,0x000B,10,0,0,0,-104.81189727783203,0.0,-187.44790649414062,0.0,0.0,0.0,135.0,135.0,0,0
0,2,0x001F,30,0,0,0,-108.08999633789062,0.0,-143.1699981689453,0.0,0.0,0.0,1069.0,960.0,0,0
0,3,0x001C,30,0,0,0,-175.0,0.0,-40.0,0.0,0.0,0.0,1066.0,930.0,0,0
0,4,0x00FE,30,0,0,0,-230.0,0.0,5.0,0.0,0.0,0.0,1067.0,940.0,0,0
0,5,0x00F1,30,0,0,0,-268.60833740234375,0.0,-64.52952575683594,0.0,0.0,0.0,1063.0,900.0,0,0
0,6,0x00D3,30,0,0,0,-254.04969787597656,0.0,-127.16407775878906,0.0,0.0,0.0,1065.0,920.0,0,0
0,7,0x00D0,30,0,0,0,-196.22312927246094,0.0,-141.29043579101562,0.0,0.0,0.0,1064.0,910.0,0,0
0,8,0x0009,30,0,0,0,-76.26000213623047,0.0,-51.42417907714844,30.0,0.0,0.0,130.0,130.0,1,0
0,9,0x00FA,30,0,0,0,92.07237243652344,-30.0,-119.26780700683594,0.0,0.0,0.0,132.0,132.0,0,0
0,10,0x00F9,30,0,0,0,140.0,-30.0,-25.0,20.0,0.0,0.0,131.0,131.0,1,0
0,11,0x00F0,30,0,0,0,-33.794403076171875,0.0,85.178466796875,0.0,0.0,0.0,136.0,136.0,0,0
0,12,0x001F,50,0,0,0,-25.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,0,0
0,13,0x00FD,10,0,0,0,-42.145423889160156,0.0,-67.77307891845703,0.0,0.0,0.0,140.0,140.0,0,0
0,14,0x0009,10,0,0,0,-245.4895782470703,0.0,-42.141937255859375,0.0,0.0,0.0,150.0,150.0,0,0
0,15,0x00F9,10,0,0,0,-241.7418670654297,0.0,-17.057846069335938,0.0,0.0,0.0,160.0,160.0,0,0
6,0,0x0033,2,1,1,0,-10.97406005859375,28.54148292541504,-94.07867431640625,0.0,0.0,0.0,180.0,450.0,0,0
6,1,0x00D7,3,5,5,0,-53.8330078125,0.0,139.9116668701172,0.0,1.0,0.0,0.0,0.0,0,0
6,2,0x00D7,3,6,6,0,85.32743835449219,0.0,73.12771606445312,0.0,1.0,0.0,0.0,0.0,0,0
6,3,0x00D7,3,6,6,0,61.299224853515625,0.0,-34.011871337890625,0.0,1.0,0.0,0.0,0.0,0,0
6,4,0x00D7,3,7,7,0,84.88699340820312,0.0,7.24249267578125,0.0,1.0,0.0,0.0,0.0,0,0
6,5,0x00D7,3,7,7,0,-124.50006103515625,0.0,122.55853271484375,0.0,1.0,0.0,0.0,0.0,0,0
6,6,0x00D7,3,7,7,0,-66.17239379882812,0.0,138.302734375,0.0,1.0,0.0,0.0,0.0,0,0
6,7,0x00D5,3,4,4,0,63.89520263671875,0.0,-118.3011474609375,-0.7999999523162842,0.0,0.7999999523162842,0.0,50.0,1,0
6,8,0x00D7,3,4,4,0,20.57769775390625,0.0,86.55853271484375,0.0,0.0,0.0,0.0,0.0,0,0
6,9,0x00D5,3,4,4,0,-88.85336303710938,0.0,119.10798645019531,-0.7999999523162842,0.0,0.7999999523162842,0.0,50.0,1,0
6,10,0x00D5,3,4,4,0,-77.05059814453125,0.0,-77.98696899414062,-0.7999999523162842,0.0,0.7999999523162842,0.0,50.0,1,0
6,11,0x00D5,3,1,1,0,28.755096435546875,0.0,96.62948608398438,0.7999999523162842,0.0,-0.7999999523162842,0.0,50.0,0,0
6,12,0x00D5,3,1,1,0,-90.09078979492188,0.0,118.46574401855469,0.7999999523162842,0.0,-0.7999999523162842,0.0,50.0,0,0
6,13,0x00D5,3,2,2,0,-41.9024658203125,0.0,17.048797607421875,0.7999999523162842,0.0,-0.7999999523162842,0.0,50.0,0,0
6,14,0x00D5,3,2,2,0,-79.0098876953125,0.0,-78.31719970703125,0.7999999523162842,0.0,-0.7999999523162842,0.0,50.0,0,0
6,15,0x00D7,3,2,2,0,55.533172607421875,0.0,-113.92691040039062,0.0,0.0,0.0,0.0,0.0,0,0
6,16,0x00D5,3,3,3,0,63.89520263671875,0.0,-118.3011474609375,-0.7999999523162842,0.0,0.7999999523162842,0.0,50.0,1,0
6,17,0x00D5,3,3,3,0,26.76300048828125,0.0,97.0750732421875,-0.7999999523162842,0.0,0.7999999523162842,0.0,50.0,1,0
6,18,0x00D7,4,3,3,0,-72.76775360107422,0.0,29.221160888671875,0.0,1.0,0.0,0.0,0.0,0,0
6,19,0x00D7,4,3,3,0,-91.70883178710938,0.0,32.0662841796875,0.0,1.0,0.0,0.0,0.0,0,0
6,20,0x00D5,4,4,4,0,142.6199951171875,0.0,-58.79998779296875,0.7999999523162842,0.0,-0.7999999523162842,-200.0,-60.0,0,0
6,21,0x00D5,4,1,1,0,30.220001220703125,0.0,9.5025634765625,0.7999999523162842,0.0,-0.7999999523162842,0.0,-50.0,0,0
6,22,0x00D5,4,1,1,0,51.74015808105469,0.0,7.8927001953125,0.7999999523162842,0.0,-0.7999999523162842,0.0,-50.0,0,0
6,23,0x00D5,4,1,1,0,-80.88816833496094,0.0,29.888397216796875,0.7999999523162842,0.0,-0.7999999523162842,0.0,-60.0,0,0
6,24,0x00D5,4,1,1,0,-75.88118743896484,0.0,8.603607177734375,0.7999999523162842,0.0,-0.7999999523162842,0.0,-60.0,0,0
6,25,0x00D5,4,2,2,0,-65.59964752197266,0.0,-91.01605224609375,-0.7999999523162842,0.0,0.7999999523162842,0.0,0.0,1,0
6,26,0x00D5,4,2,2,0,-42.461700439453125,0.0,-89.278076171875,-0.7999999523162842,0.0,0.7999999523162842,0.0,0.0,1,0
6,27,0x00D7,4,2,2,0,-106.28492736816406,0.0,47.567718505859375,0.0,1.0,0.0,0.0,0.0,0,0
6,28,0x00D5,6,1,1,0,-1.7175750732421875,0.0,-35.5126953125,0.7999999523162842,0.0,-0.7999999523162842,0.0,10.0,0,0
6,29,0x00D5,6,1,1,0,39.148895263671875,0.0,-35.3583984375,0.7999999523162842,0.0,-0.7999999523162842,0.0,10.0,0,0
6,30,0x00D5,6,1,1,0,52.96913146972656,0.0,10.7713623046875,0.7999999523162842,0.0,-0.7999999523162842,0.0,10.0,0,0
6,31,0x00D5,6,1,1,0,18.026229858398438,0.0,40.32403564453125,0.7999999523162842,0.0,-0.7999999523162842,0.0,10.0,0,0
6,32,0x00D5,6,1,1,0,-14.275115966796875,0.0,9.1669921875,0.7999999523162842,0.0,-0.7999999523162842,0.0,10.0,0,0
6,33,0x0033,8,1,1,0,39.14215850830078,12.468436241149902,19.489776611328125,0.0,0.0,0.0,183.0,460.0,0,0
6,34,0x00D5,15,3,3,0,262.8490905761719,-100.0,-170.7886505126953,0.7999999523162842,0.0,-0.7999999523162842,0.0,0.0,0,0
6,35,0x00D5,15,3,3,0,253.54421997070312,-100.0,-119.44941711425781,0.7999999523162842,0.0,-0.7999999523162842,0.0,0.0,0,0
6,36,0x00D5,15,3,3,0,268.7629089355469,-100.0,-56.075225830078125,0.7999999523162842,0.0,-0.7999999523162842,0.0,0.0,0,0
6,37,0x00D7,15,4,4,0,370.7848815917969,-100.0,-114.23100280761719,0.0,1.0,0.0,0.0,0.0,0,0
6,38,0x00D9,15,4,4,0,177.91152954101562,-89.98749542236328,-162.08731079101562,0.0,1.0,0.0,0.0,0.0,0,0
6,39,0x00D9,15,4,4,0,193.595947265625,-50.04265594482422,-51.731414794921875,0.0,1.0,0.0,0.0,0.0,0,0
6,40,0x00D5,15,1,1,0,301.4900207519531,-100.0,-99.91000366210938,0.7999999523162842,0.0,-0.7999999523162842,0.0,-60.0,0,0
6,41,0x00D5,15,1,1,0,326.2676086425781,-100.0,-96.85096740722656,0.7999999523162842,0.0,-0.7999999523162842,0.0,-60.0,0,0
6,42,0x00D5,15,1,1,0,327.41143798828125,-100.0,-147.48631286621094,0.7999999523162842,0.0,-0.7999999523162842,0.0,80.0,0,0
6,43,0x00D5,15,2,2,0,342.4071960449219,-100.0,-219.66244506835938,0.7999999523162842,0.0,-0.7999999523162842,0.0,0.0,0,0
6,44,0x00D5,15,2,2,0,368.9986267089844,-100.0,-204.86367797851562,0.7999999523162842,0.0,-0.7999999523162842,0.0,0.0,0,0
6,45,0x00D7,15,2,2,0,348.6169128417969,-100.0,-49.964080810546875,0.0,1.0,0.0,0.0,0.0,0,0
7,0,0x0033,1,1,1,0,2.869999885559082,12.14970874786377,7.1500091552734375,0.0,0.0,0.0,181.0,451.0,0,0
7,1,0x00D9,2,4,4,0,-104.22601318359375,-32.643741607666016,-85.8125,1.0,1.0,0.0,0.0,0.0,0,0
7,2,0x00D9,2,4,4,0,-6.5733795166015625,-24.843740463256836,63.1220703125,1.0,1.0,0.0,0.0,0.0,0,0
7,3,0x00D7,2,5,5,0,44.46501159667969,-37.57215118408203,-103.7529296875,0.0,1.0,0.0,0.0,0.0,0,0
7,4,0x00D5,2,3,3,0,-98.509765625,-44.99998474121094,-20.239532470703125,-0.7999999523162842,0.0,0.7999999523162842,0.0,100.0,1,0
7,5,0x00D5,2,3,3,0,-43.92101287841797,-44.99999237060547,22.15167236328125,-0.7999999523162842,0.0,0.7999999523162842,0.0,100.0,1,0
7,6,0x00D5,2,3,3,0,-78.68163299560547,-44.99999237060547,49.724456787109375,-0.7999999523162842,0.0,0.7999999523162842,0.0,100.0,1,0
7,7,0x00D5,2,1,1,0,-71.36416625976562,-44.99998474121094,-23.241973876953125,-0.7999999523162842,0.0,0.7999999523162842,0.0,100.0,1,0
7,8,0x00D5,2,1,1,0,-41.36000061035156,-45.0,-3.239990234375,0.7999999523162842,0.0,-0.8999999761581421,0.0,100.0,0,0
7,9,0x00D5,2,1,1,0,-101.36000061035156,-45.0,-3.239990234375,0.7999999523162842,0.0,-0.8999999761581421,0.0,100.0,0,0
7,10,0x00D5,2,1,1,0,-85.36000061035156,-45.0,26.760009765625,0.7999999523162842,0.0,-0.8999999761581421,0.0,100.0,0,0
7,11,0x00D5,2,1,1,0,-60.36000061035156,-45.0,26.760009765625,0.7999999523162842,0.0,-0.8999999761581421,0.0,100.0,0,0
7,12,0x00D5,2,2,2,0,-103.91035461425781,-44.99998474121094,10.08843994140625,-0.7999999523162842,0.0,0.7999999523162842,0.0,100.0,1,0
7,13,0x00D5,2,2,2,0,-47.524497985839844,-44.99998474121094,-25.576416015625,0.7999999523162842,0.0,-0.7999999523162842,0.0,100.0,0,0
7,14,0x00D5,2,2,2,0,-50.9227294921875,-44.99998474121094,27.118621826171875,0.7999999523162842,0.0,-0.7999999523162842,0.0,100.0,0,0
7,15,0x00D7,3,2,2,0,-9.112518310546875,-4.994426727294922,-60.588623046875,0.0,1.0,0.0,0.0,0.0,0,0
