quest_key,episode,floor,index,type,kind,room,wave,position,angles,params,handler_label,handler_status
battle/b88003-bb-e,Episode1,16,4,99,monster,31,1,"[2.64093017578125, 0.0, 33.93757629394531]","[0, -65536, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 2, 0]",,not a standard NPC interaction
battle/b88003-bb-j,Episode1,16,4,99,monster,31,1,"[2.64093017578125, 0.0, 33.93757629394531]","[0, -65536, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 2, 0]",,not a standard NPC interaction
battle/b88007-bb-e,Episode1,16,0,99,monster,40,0,"[-40.76953125, 0.0, 153.9691162109375]","[0, -49152, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
battle/b88007-bb-e,Episode1,16,1,99,monster,45,0,"[10.12103271484375, 0.0, 113.8892822265625]","[0, -49152, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
battle/b88007-bb-e,Episode1,16,2,99,monster,40,0,"[-46.08624267578125, 0.0, 86.39642333984375]","[0, -49152, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
battle/b88007-bb-e,Episode1,16,3,99,monster,40,0,"[193.89605712890625, 0.0, 118.98358154296875]","[0, -49152, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
battle/b88007-bb-e,Episode1,16,4,99,monster,40,0,"[57.41259765625, 0.0, -107.680908203125]","[0, -16384, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
battle/b88007-bb-e,Episode1,16,5,99,monster,40,0,"[5.30731201171875, 0.0, -52.4840087890625]","[0, -16384, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
battle/b88007-bb-e,Episode1,16,6,99,monster,41,0,"[-40.76953125, 0.0, 153.9691162109375]","[0, -49152, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
battle/b88007-bb-e,Episode1,16,7,99,monster,41,0,"[-46.08624267578125, 0.0, 86.39642333984375]","[0, -49152, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
battle/b88007-bb-e,Episode1,16,8,99,monster,51,0,"[37.00677490234375, 0.0, -145.44180297851562]","[0, -16384, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
battle/b88007-bb-e,Episode1,16,9,99,monster,51,0,"[36.024169921875, 0.0, -85.1446533203125]","[0, -16384, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
battle/b88007-bb-j,Episode1,16,0,99,monster,40,0,"[-40.76953125, 0.0, 153.9691162109375]","[0, -49152, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0, 0]",,not a standard NPC interaction
